part_id, machine_position, contact_pressure, press_in_pressure
937086000121231129014442,1,3659,4911
937086000121231129012798,2,3641,4920
937086000121231129010662,3,3635,4968
937086000121231129015222,4,3666,4967
937086000121231129008110,5,3638,4920
937086000121231129007006,6,3556,4963
937086000121231129011206,1,3769,4922
937086000121231129009658,2,3672,4910
937086000121231129010924,3,3738,5011
937086000121231129009144,4,3754,4998
937086000121231129013338,5,3629,4906
937086000121231129005518,6,3580,4943
937086000121231129011782,1,3706,4919
937086000121231129008634,2,3604,4898
937086000121231129006005,3,3653,4970
937086000121231129008014,4,3708,4976
937086000121231129011938,5,3722,4925
937086000121231129009606,6,3527,4946
937086000121231129008374,1,3725,4910
937086000121231127001976,2,3669,4903
937086000121231129006490,3,3682,4969
937086000121231127000800,4,3742,4969
937086000121231129011374,5,3702,4915
937086000121231129012178,6,3571,4948
937086000121231129008742,1,3640,4910
937086000121231129008002,2,3643,4905
937086000121231129013290,3,3623,4962
937086000121231129008266,4,3713,4977
937086000121231129007642,5,3699,4921
937086000121231127000920,6,3586,4956
937086000121231129011674,1,3695,4909
937086000121231129010554,2,3665,4900
937086000121231129015414,3,3693,4966
937086000121231129007853,4,3739,4963
937086000121231129015426,5,3641,4901
937086000121231129011158,6,3530,4950
937086000121231129015184,1,3598,4893
937086000121231129011082,2,3564,4894
937086000121231129014286,3,3591,4973
937086000121231129009438,4,3607,4953
937086000121231129011682,5,3593,4906
937086000121231129011226,6,3471,4926
937086000121231129005501,1,3667,4882
937086000121231129011382,2,3628,4890
937086000121231129009558,3,3694,4973
937086000121231129009310,4,3707,4968
937086000121231129011694,5,3671,4913
937086000121231129011838,6,3502,4942
937086000121231129005374,1,3591,4902
937086000121231129014982,2,3521,4886
937086000121231129011250,3,3546,4954
937086000121231129010638,4,3563,4946
937086000121231129011998,5,3580,4908
937086000121231129012954,6,3433,4934
937086000121231129006358,1,3645,4916
937086000121231129010506,2,3575,4907
937086000121231129014046,3,3597,4960
937086000121231129013314,4,3616,4951
937086000121231129007942,5,3600,4907
937086000121231129008746,6,3487,4933
937086000121231129006154,1,3643,4907
937086000121231127007826,2,3614,4903
937086000121231129008866,3,3697,4969
937086000121231129012342,4,3674,4943
937086000121231129010870,5,3733,4920
937086000121231129010184,6,3594,4953
937086000121231129015666,1,3625,4908
937086000121231129008646,2,3570,4900
937086000121231129008518,3,3591,4974
937086000121231129013578,4,3620,4942
937086000121231129011122,5,3635,4913
937086000121231129008902,6,3505,4930
937086000121231129013926,1,3594,4901
937086000121231129009162,2,3561,4890
937086000121231129008790,3,3581,4960
937086000121231127013832,4,3677,4973
937086000121231129007978,5,3609,4908
937086000121231129010062,6,3491,4950
937086000121231129012462,1,3598,4904
937086000121231129014178,2,3558,4889
937086000121231129009856,3,3605,4962
937086000121231129014072,4,3702,4967
937086000121231129012474,5,3668,4896
937086000121231129012500,6,3607,4949
937086000121231129011826,1,3620,4912
937086000121231129010590,2,3575,4900
937086000121231129014586,3,3592,4960
937086000121231129009922,4,3635,4957
937086000121231129010192,5,3581,4898
937086000121231129008730,6,3474,4938
937086000121231129009322,1,3620,4915
937086000121231129009244,2,3562,4896
937086000121231129013134,3,3579,4969
937086000121231129014070,4,3606,4950
937086000121231129008994,5,3616,4908
937086000121231129011080,6,3543,4946
937086000121231129003977,1,3606,4890
937086000121231129013098,2,3559,4892
937086000121231129011986,3,3701,4986
937086000121231129005818,4,3691,4980
937086000121231129005902,5,3654,4924
937086000121231129012102,6,3505,4943
937086000121231126008522,1,3696,4923
937086000121231129010146,2,3652,4915
937086000121231129014958,3,3596,4971
937086000121231129009994,4,3638,4959
937086000121231129011934,5,3596,4910
937086000121231129008974,6,3483,4956
937086000121231129005926,1,3631,4938
937086000121231129006370,2,3609,4917
937086000121231129009594,3,3628,4978
937086000121231129012390,4,3670,4975
937086000121231129012250,5,3709,4931
937086000121231129015172,6,3572,4954
937086000121231129008910,1,3602,4914
937086000121231129014704,2,3573,4910
937086000121231129010350,3,3607,4979
937086000121231129006646,4,3644,4970
937086000121231129009082,5,3633,4930
937086000121231129011254,6,3505,4954
