,country,continent,date,cases,deaths,country_code,population,normalized deaths,normalized cases
0,Afghanistan,Asia,2020-04-12,34,3,AFG,37172386.0,8.070506961807618e-08,9.1465745567153e-07
1,Albania,Europe,2020-04-12,17,0,ALB,2866376.0,0.0,5.930833917113456e-06
2,Algeria,Africa,2020-04-12,64,19,DZA,42228429.0,4.4993385853875835e-07,1.5155666813937122e-06
3,Andorra,Europe,2020-04-12,21,2,AND,77006.0,2.5972002181648184e-05,0.00027270602290730594
4,Angola,Africa,2020-04-12,0,0,AGO,30809762.0,0.0,0.0
5,Anguilla,America,2020-04-12,0,0,xx,1000000.0,0.0,0.0
6,Antigua_and_Barbuda,America,2020-04-12,0,0,ATG,96286.0,0.0,0.0
7,Argentina,America,2020-04-12,162,7,ARG,44494502.0,1.5732280810784217e-07,3.6408992733529188e-06
8,Armenia,Europe,2020-04-12,30,2,ARM,2951776.0,6.775581886972454e-07,1.016337283045868e-05
9,Aruba,America,2020-04-12,6,0,ABW,105845.0,0.0,5.668666446218527e-05
10,Australia,Oceania,2020-04-12,51,3,AUS,24992369.0,1.2003663998398872e-07,2.040622879727808e-06
11,Austria,Europe,2020-04-12,247,18,AUT,8847037.0,2.034579486894878e-06,2.791895184794638e-05
12,Azerbaijan,Europe,2020-04-12,67,1,AZE,9942334.0,1.0058000465484262e-07,6.738860311874455e-06
13,Bahamas,America,2020-04-12,4,0,BHS,385640.0,0.0,1.0372368011617052e-05
14,Bahrain,Asia,2020-04-12,42,0,BHR,1569439.0,0.0,2.6761154782059067e-05
15,Bangladesh,Asia,2020-04-12,58,3,BGD,161356039.0,1.8592424669026487e-08,3.5945354360117877e-07
16,Barbados,America,2020-04-12,1,0,BRB,286641.0,0.0,3.488684451980003e-06
17,Belarus,Europe,2020-04-12,245,4,BLR,9485386.0,4.2170134141088194e-07,2.582920716141652e-05
18,Belgium,Europe,2020-04-12,1351,327,BEL,11422068.0,2.8628791213640122e-05,0.00011827980712424405
19,Belize,America,2020-04-12,3,0,BLZ,383071.0,0.0,7.831446389833738e-06
20,Benin,Africa,2020-04-12,0,0,BEN,11485048.0,0.0,0.0
21,Bermuda,America,2020-04-12,2,0,BMU,63968.0,0.0,3.12656328164082e-05
22,Bhutan,Asia,2020-04-12,0,0,BTN,754394.0,0.0,0.0
23,Bolivia,America,2020-04-12,24,4,BOL,11353142.0,3.5232537389209084e-07,2.113952243352545e-06
24,"Bonaire, Saint Eustatius and Saba",America,2020-04-12,0,0,xx,1000000.0,0.0,0.0
25,Bosnia_and_Herzegovina,Europe,2020-04-12,47,0,BIH,3323929.0,0.0,1.4139892879781728e-05
26,Botswana,Africa,2020-04-12,0,0,BWA,2254126.0,0.0,0.0
27,Brazil,America,2020-04-12,1089,68,BRA,209469333.0,3.246298588252057e-07,5.198851709715426e-06
28,British_Virgin_Islands,America,2020-04-12,0,0,VGB,29802.0,0.0,0.0
29,Brunei_Darussalam,Asia,2020-04-12,0,0,BRN,428962.0,0.0,0.0
30,Bulgaria,Europe,2020-04-12,26,3,BGR,7024216.0,4.2709392763548276e-07,3.7014807061741836e-06
31,Burkina_Faso,Africa,2020-04-12,36,1,BFA,19751535.0,5.0628976431452036e-08,1.8226431515322732e-06
32,Burundi,Africa,2020-04-12,2,0,BDI,11175378.0,0.0,1.7896486364935485e-07
33,Cambodia,Asia,2020-04-12,2,0,KHM,16249798.0,0.0,1.2307845303677006e-07
34,Cameroon,Africa,2020-04-12,17,1,CMR,25216237.0,3.965698767821701e-08,6.741687905296893e-07
35,Canada,America,2020-04-12,1168,84,CAN,37058856.0,2.266664680636661e-06,3.151743270218595e-05
36,Cape_Verde,Africa,2020-04-12,1,0,CPV,543767.0,0.0,1.8390229638797499e-06
37,Cases_on_an_international_conveyance_Japan,Other,2020-01-18,0,0,xx,3000.0,0.0,0.0
38,Cayman_Islands,America,2020-04-12,8,0,CYM,64174.0,0.0,0.00012466107769501668
39,Central_African_Republic,Africa,2020-04-12,0,0,CAF,4666377.0,0.0,0.0
40,Chad,Africa,2020-04-12,0,0,TCD,15477751.0,0.0,0.0
