Book: isbn=ISBN-1, title=Title 1, price=91.0
Book: isbn=ISBN-4, title=Title 4, price=91.0
Book: isbn=ISBN-6, title=Title 6, price=62.0
Book: isbn=ISBN-9, title=Title 9, price=57.0
Book: isbn=ISBN-11, title=Python Basics, price=99.0
Book: isbn=ISBN-12, title=Title 12, price=55.0
Book: isbn=ISBN-13, title=Title 13, price=87.0
Book: isbn=ISBN-14, title=Title 14, price=56.0
Book: isbn=ISBN-17, title=Title 17, price=70.0
Book: isbn=ISBN-19, title=Title 19, price=95.0
Book: isbn=ISBN-20, title=Advanced Python, price=84.0
Book: isbn=ISBN-28, title=Title 28, price=56.0
Book: isbn=ISBN-30, title=Title 30, price=50.0
Book: isbn=ISBN-34, title=Title 34, price=66.0
Book: isbn=ISBN-35, title=Title 35, price=98.0
Book: isbn=ISBN-39, title=Title 39, price=61.0
Book: isbn=ISBN-40, title=Title 40, price=100.0
Book: isbn=ISBN-41, title=Title 41, price=98.0
Book: isbn=ISBN-45, title=Title 45, price=59.0
Book: isbn=ISBN-47, title=Title 47, price=98.0
Book: isbn=ISBN-50, title=Title 50, price=73.0
Book: isbn=ISBN-51, title=Title 51, price=87.0
Book: isbn=ISBN-52, title=Title 52, price=88.0
Book: isbn=ISBN-53, title=Title 53, price=75.0
Book: isbn=ISBN-54, title=Title 54, price=63.0
Book: isbn=ISBN-55, title=Title 55, price=68.0
Book: isbn=ISBN-57, title=Title 57, price=78.0
Book: isbn=ISBN-60, title=Title 60, price=69.0
Book: isbn=ISBN-63, title=Data Analysis with Python, price=87.0
Book: isbn=ISBN-66, title=Title 66, price=64.0
Book: isbn=ISBN-68, title=Title 68, price=65.0
Book: isbn=ISBN-70, title=Title 71, price=79.0
Book: isbn=ISBN-71, title=Title 72, price=85.0
Book: isbn=ISBN-77, title=Title 79, price=67.0
Book: isbn=ISBN-79, title=Title 81, price=89.0
Book: isbn=ISBN-80, title=Title 82, price=66.0
Book: isbn=ISBN-82, title=Title 84, price=86.0
Book: isbn=ISBN-83, title=Title 85, price=84.0
Book: isbn=ISBN-84, title=Title 86, price=64.0
Book: isbn=ISBN-91, title=Title 94, price=78.0
Book: isbn=ISBN-92, title=Title 95, price=94.0
Book: isbn=ISBN-94, title=Title 97, price=91.0
Book: isbn=ISBN-95, title=Django – a Python Library, price=64.0
Book: isbn=ISBN-96, title=Title 99, price=78.0
Book: isbn=ISBN-98, title=Title 101, price=67.0
