IP-Address,Type,Status,DNS-Name
10.120.16.207,Dhcp,0,host4185.acme.com
10.120.24.221,DHCP,1,
10.120.255.102,Dhcp,1,host7547.foo.com
10.120.185.148,DHCP,0,host1090.foo.com
10.120.134.192,Dhcp,0,
10.120.28.59,DHCP,0,
10.120.22.187,host,0,
10.120.204.93,host,1,
10.120.81.179,Dhcp,0,host9486.acme.com
10.120.101.184,host,0,host5082.acme.com
10.120.248.209,host,1,
10.120.1.245,host,1,host3184.acme.com
10.120.229.151,dhcp,0,
10.120.82.139,host,1,host6198.acme.com
10.120.252.24,host,0,
10.120.172.27,DHCP,0,
10.120.161.55,host,1,host9270.foo.com
10.120.114.36,host,0,host9976.acme.com
10.120.91.130,host,1,host3607.acme.com
10.120.32.99,host,0,
10.120.56.40,host,0,host5246.javacream.eu
10.120.148.253,host,1,
10.120.0.154,host,1,
10.120.189.91,DHCP,1,host9540.javacream.eu
10.120.29.62,host,0,host4919.acme.com
10.120.191.196,host,0,host2269.acme.com
10.120.142.40,host,0,
10.120.0.154,host,0,host6502.foo.com
10.120.5.175,Dhcp,1,host9849.javacream.eu
10.120.44.152,Dhcp,1,host3471.acme.com
10.120.174.29,DHCP,1,host3503.acme.com
10.120.116.198,host,0,
10.120.111.60,DHCP,1,host7678.foo.com
10.120.58.175,host,1,host8633.acme.com
10.120.216.9,DHCP,1,host4388.javacream.eu
10.120.1.245,DHCP,1,
10.120.193.21,host,0,host1320.javacream.eu
10.120.98.181,DHCP,0,
10.120.126.191,DHCP,1,
10.120.112.36,Dhcp,0,host1096.foo.com
10.120.40.219,host,1,
10.120.57.7,host,0,host7389.foo.com
10.120.161.103,dhcp,0,
10.120.3.195,host,1,
10.120.134.192,host,1,host9947.javacream.eu
10.120.135.36,host,1,
10.120.142.117,dhcp,1,
10.120.35.12,host,0,host5471.acme.com
10.120.235.138,Dhcp,1,host1475.javacream.eu
10.120.119.222,host,0,host7624.javacream.eu
10.120.150.213,host,1,
10.120.52.174,dhcp,0,
10.120.140.63,Dhcp,1,
10.120.150.112,host,0,
10.120.51.98,DHCP,0,host7455.foo.com
10.120.165.126,dhcp,1,host1444.javacream.eu
10.120.185.225,host,1,host8022.acme.com
10.120.80.117,DHCP,0,host8564.acme.com
10.120.40.219,host,1,host5262.foo.com
10.120.186.42,host,1,host4467.acme.com
10.120.236.98,dhcp,0,host6529.acme.com
10.120.81.203,host,1,
10.120.28.59,host,1,host7906.javacream.eu
10.120.110.246,host,1,host2341.acme.com
10.120.152.216,dhcp,1,host9837.foo.com
10.120.40.22,DHCP,1,host6733.javacream.eu
10.120.9.29,host,1,host2124.foo.com
10.120.101.40,Dhcp,0,
10.120.36.156,host,0,host1508.acme.com
10.120.214.57,DHCP,1,
10.120.13.144,Dhcp,1,host1333.acme.com
10.120.216.88,Dhcp,0,host4908.javacream.eu
10.120.138.254,host,1,host2874.acme.com
10.120.166.216,host,1,host4571.foo.com
10.120.157.62,dhcp,0,host5198.foo.com
10.120.5.175,dhcp,1,
10.120.112.176,host,1,host2876.acme.com
10.120.137.17,host,0,
10.120.219.230,DHCP,1,host6096.javacream.eu
10.120.142.208,host,1,host1420.acme.com
10.120.108.234,Dhcp,1,
10.120.125.42,host,1,host7149.acme.com
10.120.87.137,Dhcp,1,host4249.javacream.eu
10.120.239.136,DHCP,0,host4978.foo.com
10.120.63.250,host,1,host5941.javacream.eu
10.120.128.249,host,0,
10.120.47.98,host,0,host2983.acme.com
10.120.134.249,host,1,
10.120.54.223,host,1,host1672.acme.com
10.120.216.153,DHCP,0,host8018.acme.com
10.120.176.155,host,0,host2129.foo.com
10.120.107.172,DHCP,1,host6590.acme.com
10.120.135.207,host,0,host7882.acme.com
10.120.142.208,host,0,
10.120.234.37,Dhcp,0,host6934.javacream.eu
10.120.49.92,dhcp,0,host8532.acme.com
10.120.195.153,host,0,
10.120.15.24,DHCP,0,host9548.acme.com
10.120.136.180,host,1,
10.120.136.197,host,0,host9817.foo.com
