,0
0,9.1465745567153e-07
1,5.930833917113456e-06
2,1.5155666813937122e-06
3,0.00027270602290730594
4,0.0
5,
6,0.0
7,3.6408992733529188e-06
8,1.016337283045868e-05
9,5.668666446218527e-05
10,2.040622879727808e-06
11,2.791895184794638e-05
12,6.738860311874455e-06
13,1.0372368011617052e-05
14,2.6761154782059067e-05
15,3.5945354360117877e-07
16,3.488684451980003e-06
17,2.582920716141652e-05
18,0.00011827980712424405
19,7.831446389833738e-06
20,0.0
21,3.12656328164082e-05
22,0.0
23,2.113952243352545e-06
24,
25,1.4139892879781728e-05
26,0.0
27,5.198851709715426e-06
28,0.0
29,0.0
30,3.7014807061741836e-06
31,1.8226431515322732e-06
32,1.7896486364935485e-07
33,1.2307845303677006e-07
34,6.741687905296893e-07
35,3.151743270218595e-05
36,1.8390229638797499e-06
37,0.0
38,0.00012466107769501668
39,0.0
40,0.0
41,2.274528062123448e-05
42,6.67753261579775e-08
43,4.753398806030814e-06
44,0.0
45,3.800424887502423e-06
46,2.114145592590821e-06
47,9.53685137183939e-06
48,4.939082590104301e-06
49,0.0
50,1.7657965213808528e-05
51,1.5998953480219412e-05
52,1.3084631599401967e-07
53,3.053068540871273e-05
54,3.858507487590206e-05
55,0.0
56,1.3079687762446523e-05
57,5.619175483162755e-06
58,1.4732239764255715e-06
59,0.0
60,0.0
61,
62,3.482516254266082e-05
63,1.463057790782736e-06
64,3.662180041395269e-08
65,
66,0.0
67,0.0
68,2.464638776379337e-05
69,4.648646240767869e-05
70,0.0
71,1.4155784407403474e-06
72,2.1928843534192768e-06
73,2.1441972661484855e-06
74,3.401749292596527e-05
75,1.0078238033738447e-06
76,5.9315499139925264e-05
77,6.525183292398684e-06
78,0.0
79,0.0
80,1.809758216302302e-05
81,9.276541649613774e-07
82,0.00014279821026243138
83,3.0609816826022983e-06
84,1.600589870720356e-06
85,6.418452280090988e-06
86,1.7980476079853453e-07
87,0.0
88,1.0430223784623388e-07
89,1.0236687571688803e-05
90,3.959567162743867e-05
91,6.720304266278038e-07
92,1.2328915976139962e-06
93,2.2457138863443102e-05
94,1.0147371050330961e-06
95,0.0001728647291257083
96,0.0002973464800123696
97,3.770908845313942e-05
98,7.767500153852434e-05
99,1.3629293440391433e-06
100,1.1072551689690356e-05
101,0.0
102,9.039765022356845e-07
103,2.1886029704047806e-06
104,3.8915798082268384e-08
105,1.788327101284344e-05
106,3.891418310790903e-05
107,6.016656638905602e-06
108,2.8322566273742986e-07
109,9.343165111375718e-06
110,1.4600831517354914e-06
111,2.2826421458330263e-06
112,1.497327196088622e-07
113,0.0
114,1.935807893292533e-05
115,7.733722981333754e-05
116,0.0
117,1.653501578956216e-07
118,5.835973926517793e-06
119,0.0
120,9.435104564546337e-07
121,2.6885612061299197e-05
122,0.0
123,7.90324530962149e-07
124,2.9716907703278628e-06
125,3.440609856557591e-05
126,5.1703634765524014e-05
127,0.0
128,9.640954775887972e-06
129,0.0
130,2.6922653547803447e-06
131,0.0
132,5.585718955109346e-08
133,0.0
134,0.0
135,7.637390178420693e-05
136,0.0
137,2.865622761232218e-06
138,0.0
139,2.3615435904409705e-06
140,6.636894578647559e-08
141,2.3524238126740915e-05
142,0.0
143,1.4300939948095115e-05
144,1.2837813074401546e-05
145,1.1780503953937665e-06
146,4.377242105479716e-07
147,6.224752344636766e-05
148,0.0
149,1.4375931470509718e-07
150,2.9728731421574793e-05
151,3.3004562261897166e-06
152,1.0558592182091849e-05
153,5.0088691023970405e-05
154,1.9717365647278864e-05
155,7.765099973864687e-05
156,2.6856409510640274e-05
157,1.1538084850951408e-05
158,1.625759971659752e-07
159,0.0
160,0.0
161,0.0
162,0.0003551872132603226
163,0.0
164,1.1335329399776208e-05
165,8.199637197591073e-07
166,3.93865212735911e-05
167,0.0
168,2.614326456696166e-07
169,6.916517281716488e-05
170,0.0
171,2.3866300251642597e-06
172,1.3543764740936803e-05
173,0.0
174,4.326784969275154e-07
175,1.200729981855808e-06
176,9.110853577649983e-08
177,9.738088439778238e-05
178,9.229349330872173e-08
179,9.569027049797431e-08
180,0.0
181,4.5761758979885936e-05
182,6.951177255841953e-05
183,3.548976436748397e-07
184,2.102567268275641e-07
185,4.75308966671969e-07
186,0.0
187,0.0
188,2.1584938893037993e-06
189,1.2105277174531465e-06
190,6.241517525010167e-05
191,0.0
192,0.0
193,6.90234499551751e-06
194,3.904076426864656e-05
195,0.00013113449112199643
196,0.0
197,9.347803733512811e-06
198,8.67781968788495e-05
199,2.029397857361742e-06
200,5.2191750062205285e-06
201,0.0
202,4.1867107624999875e-08
203,0.0
204,0.0
205,2.077703622226941e-07
